Tribal Government	Oklahoma		Kiowa Tribe	Kiowa Tribe Emergency Rental Assistance Program	The Kiowa Tribe Housing Authority has received federal Emergency Rental Assistance through the Kiowa Tribe for tribal members whose financial situation has been affected by the COVID-19 pandemic for rent and utilities.	https://kiowahousing.com/f/notice-of-emergency-rental-assistance-program		Accepting applications	Kiowa Tribe Housing Authority	Single agency (public sector)	Unspecified	n/a	$1,509,639.90	Treasury ERA1 only	Unknown				Yes		electricity, gas, water and sewer, trash removal, energy costs, such as fuel oil, internet	Yes	Internet	Tenant	No		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Eviction Notice, Past Due Rent, Past due utilities, unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	Income Non-Traditional	Unspecified	W-9/Payee Information	https://kiowahousing.com/f/notice-of-emergency-rental-assistance-program#:~:text=The%20Kiowa%20Tribe%20Housing%20Authority,19%20pandemic%20for%20RENTand%20UTILITIES.	https://img1.wsimg.com/blobby/go/be889e6a-d656-4f35-a598-9a0abb5ddd01/downloads/ERA-Frequently-Asked-Questions_Pub-2-22-21.pdf?ver=1615413419919					6/4/2021	7/21/2022	Kiowa Tribe	35.0968203, -98.6133519
Tribal Government	Oklahoma		Modoc Nation	Modoc Nation Emergency Rental Assistance Program	This purpose of this program is to assist eligible tribal households that are unable to pay past and current rent and utilities due to the COVID-19 pandemic. The Emergency Rental Assistance Program (ERAP) assists eligible tribal households that are unable to pay rent and utilities (electric, water, gas, propane, sewer, trash removal) due to COVID-19 pandemic. Telecommunication services (telephone, cable, internet) delivered to the rental dwelling are not considered to be utilities.	https://modocnation.com/housing-authority/		Program permanently closed	Mudoc Housing Authority	Single agency (public sector)	Unspecified	n/a	$181,826.07	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electric, water, gas, propane, sewer, trash removal	No		Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent, Past Due utilities	Unknown	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Unspecified	W-9/Payee Information							5/5/2021	7/21/2022	Modoc Nation	36.876928, -94.8464534
Tribal Government	Oklahoma		Muscogee Nation	Muscogee Nation Emergency Rental Assistance Program	The Muscogee (Creek) Nation Emergency Rental Assistance Program is utilizing funds provided from the Department of Treasury to provide emergency rental assistance up to $4,000 for eligible households across the United States. All assistance payments will be made directly to landlords and property managers on behalf of eligible households.	https://www.muscogeenation.com/era/		Applications on hold/Waitlist	Muscogee Nation	Single agency (public sector)	Unspecified	n/a	$20,759,703.76	Treasury ERA1 only	Both	12 months	12 months	TOTAL: $7,000	Yes			Unknown		Tenant	Yes		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent, Past Due utilities	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Unspecified		https://www.muscogeenation.com/wp-content/uploads/2021/06/FAQs_6.21.21_Clean61.pdf	https://eforms.mcn-nsn.gov/lincdoc/doc/run/muscogeeh/EmergencyRentalAssistanceApp					5/5/2021	7/21/2022	Muscogee Nation	35.645553, -95.9607163
Tribal Government	Oklahoma		Osage Nation	Osage Nation COVID Emergency Rental Assistance (ERA) Program	It only serves Osage households who are low income, or newly low income due to layoffs, business loss, health issues or other financial factors directly caused by COVID. The service area has been expanded to serve Osages living in the entire State of Oklahoma. The program provides past due rent and utilities as well as future rent. It also assists with COVID caused relocation expenses.	https://www.osagenation-nsn.gov/what-we-do/housing		Program permanently closed	Osage Nation Housing Department	Single agency (public sector)	Unspecified	n/a	$1,652,519.56	Treasury ERA1 only	Both	15 months	12 months		Yes	12 months	electric, water and gas / propane	Yes	Relocation Expenses	Tenant	No		Prioritization required, Process established on website	Senior citizens 62+	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent, Past Due utilities	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information	https://s3.amazonaws.com/osagenation-nsn.gov/files/departments/Housing/2021-0301_Housing_Voucher-Policy.pdf						5/5/2021	7/21/2022	Osage Nation	36.667798, -96.34005100000002
Tribal Government	Oklahoma		Otoe-Missouria Tribe of Indians	Otoe-Missouria Tribe of Indians Emergency Rental Assistance Program (ERAP)	The program provides financial assistance for rent or utilities (not both) for up to three (3) months based on application needs towards the following: 1. Rent or Rental Arrears, and 2. Utilities or utility Arrears - electric, gas, propane, water, sewer, trash removal arrears after dates 3/13/2020	https://www.omtribe.org/what-we-do/housing/emergency-rental-assistance/		Applications on hold/Waitlist	Housing Department of the Otoe-Missouria Tribe of Indians	Single agency (public sector)	Unspecified	n/a	$489,940.07	Treasury ERA1 only	Both	3 months	3 months		Yes	3 months	electric, water, gas/propane/wood, sewer, trash removal	No		Tenant	No		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent, Past Due utilities	No	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information	https://www.omtribe.org/wp-content/uploads/2021-Emergency-Rental-Assistance-Policy.pdf						5/5/2021	7/21/2022	Otoe-Missouria Tribe of Indians	36.4914076, -97.0748504
Tribal Government	Oklahoma		Ottawa Tribe of Oklahoma	Ottawa Tribe Emergency Rental Assistance Program (ERAP)	The Emergency Rental Assistance Program (ERAP) assists eligible tribal households that are unable to pay rent and utilities (electric, water, gas/propane/wood, sewer, trash removal) due to the COVID-19 pandemic. ERAP can assist eligible households with rental arrearages, utility arrearages, current rental payments and current utility payments. Telecommunication services (telephone, cable, Internet) delivered to the rental dwelling are not considered to be utilities	http://www.ottawatribe.org/fyi/		Program permanently closed	Ottawa Tribe	Single agency (public sector)	Unspecified	n/a	$303,204.34	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electric, water, gas/propane/wood, sewer, trash removal	No		Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent, Past Due utilities	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Unspecified	W-9/Payee Information							5/5/2021	7/21/2022	Ottawa Tribe of Oklahoma	36.8746205, -94.87719510000001
Tribal Government	Oklahoma		Pawnee Nation Housing Authority	Pawnee Nation Housing Authority Emergency Rental Assistance Program	The temporary COVID Emergency Rental Assistance (ERA) Program operates on supplemental funding from the U.S. Treasury Department to help combat the risk of homelessness caused by the COVID-19 pandemic. The ERA Program will serve Pawnee households who are low income, or newly low income due to layoffs or furloughs, business loss, health issues or other financial factors directly caused by the COVID-19 virus. Service area will reach Pawnees Nationwide and within the Pawnee jurisdiction.	https://pawneenationhousing.org/		Program permanently closed	Pawnee Nation Housing Authority	Single agency (public sector)	Unspecified	n/a	$790,269.00	Treasury ERA1 only	Both				Yes			Yes	Relocation Expenses	Tenant	No		Prioritization required, Process established on website	Pawnee Nation of Oklahoma	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Gov ID		Unknown	Self-Attestation Permitted	COVID Hardship	Unspecified								7/16/2021	7/21/2022	Pawnee Nation Housing Authority	36.3306308, -96.7954611
Tribal Government	Oklahoma		Peoria Tribe of Indians of Oklahoma	Peoria Tribe of Indians of Oklahoma Emergency Rental Assistance	The Emergency Rental Assistance Program (ERAP) assists eligible tribal households that are unable to pay rent and utilities (electric, water, gas, sewer, trash removal) due to the COVID-19 pandemic. ERAP can assist eligible households with rental arrearages, utility arrearages, current rental payments and current utility payments. Telecommunication services (telephone, cable) delivered to the rental dwelling are not considered to be utilities. This program is only available to rental households and does not apply to households with a mortgage or who currently own their home. This program is limited to one tribal member per household. Payments will be made directly to the landlord or utility company.	https://peoriatribe.com/forms/		Accepting applications	Peoria Housing Authority	Single agency (public sector)	Unspecified	n/a	$2,043,827.07	Treasury ERA1 only	Both	15 months	15 months		Yes		electric, water, gas, sewer, trash removal	No		Both	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease		Yes	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility	W-9/Payee Information, Rental Registry	https://peoriatribe.com/wp-content/uploads/ERAP-Application-update-08.04.21.pdf						1/19/2022	7/21/2022	Peoria Tribe of Indians of Oklahoma	
Tribal Government	Oklahoma		Quapaw Nation	Quapaw Nation COVID-19 Emergency Rental Assistance	The Quapaw Nation Housing Department has been awarded a grant through the Treasury Department for a COVID-19 Emergency Rental Assistance Program. This program makes available funds to assist households that are unable to pay rent and utilities DUE TO THE COVID-19 PANDEMIC. Enrolled Quapaw tribal members will be given first priority. The Service Area for this assistance is: all of Ottawa County and within fifty miles of the tribal administration office in Quapaw into Kansas and Missouri.	https://www.quapawtribe.com/671/Covid19-Emergency-Rental-Assistance		Accepting applications	Quapaw Nation Housing Department	Single agency (public sector)	Unspecified	n/a	$251,025.78	Treasury ERA1 only	Both	15 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	Yes	Relocation Expenses, Late Fees, Hotel/Motel Stays, Uncategorized Housing Expenses	Both	Yes	14 days	Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	No	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information							4/30/2021	7/21/2022	Quapaw Nation	36.93578979999999, -94.7525368
Tribal Government	Oklahoma		Sac and Fox Nation	Sac and Fox Nation Emergency Rental Assistance Program	The COVID-19 pandemic poses an immediate and imminent threat to the health, safety, and well-being of the Tribe. The purpose of the ERA Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal members and other Indian families who have disproportionately suffered from the impacts of the COVID-19 pandemic. The ERA Program is designed to assist Tribal, Indian, and other households whose income is at or below 80% of the Median Income who face potential eviction or homelessness because they are unable to pay rent and utilities due to the COVID-19 pandemic.	https://sacandfoxha.com/programs/		Accepting applications	Sac and Fox Nation Housing Authority	Single agency (public sector)	Unspecified	n/a	$2,211,312.77	Treasury ERA1 only	Both	15 months	12 months		Yes	15 months	electricity, gas, water and sewer, trash removal, and energy costs	Yes	Relocation Expenses, Late Fees, Hotel/Motel Stays, Uncategorized Housing Expenses	Both	Yes	14 days	Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, SSN; Tribal ID for all applicable household members	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	COVID Hardship, Income, Housing Instability	Categorical Eligibility	W-9/Payee Information	https://sacandfoxha.com/media/1202/covid-19-emergency-rental-assistance-program-policy-v2.pdf	https://sacandfoxha.com/programs/	https://sacandfoxha.com/media/1203/erap-application.pdf				5/25/2021	7/21/2022	Sac and Fox Nation	35.6666871, -96.6634895
Tribal Government	Oklahoma		Seneca Cayuga Nation	Seneca Cayuga Nation Emergency Rental Assistance Program (ERAP)	The program  assists eligible Seneca Cayuga Nation tribal households that are unable to pay rent and utilities (electric, water, gas, sewer, trash removal) due to the COVID-19 pandemic. ERAP can assist eligible households with rental arrearages, utility arrearages, current  rental payments and current utility payments. Telecommunication services (telephone, cable, Internet) delivered to the rental dwelling are not considered to be utilities.	http://sctribe.com/service/housing/		Accepting applications	Seneca Cayuga Housing Department	Single agency (public sector)	Unspecified	n/a	$165,695.38	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	No		Tenant	No		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information							4/30/2021	7/21/2022	Seneca Cayuga Nation	36.6596698, -94.7073559
Tribal Government	Oklahoma		Shawnee Tribe	Shawnee Tribe Emergency Rental Assistance Program (ERAP)	The Emergency Rental Assistance Program (ERAP) assists eligible tribal households that are unable to pay rent and utilities (electric, water, gas, propane, sewer, trash removal) due to the COVID-19 pandemic. ERAP can assist eligible households with rental arrearages, utility arrearages, current rental payments, and current utility payments. Telecommunication services (telephone, cable, Internet) delivered to the rental dwelling are not considered to be utilities.	https://www.shawnee-tribe.org/erap		Program permanently closed	Shawnee Tribe	Single agency (public sector)	Unspecified	n/a	$64,489.02	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	No		Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information	https://www.shawnee-nsn.gov/fileadmin/user_upload/Shawnee_Tribe_ERAP_Application_Form_-_FINAL.pdf						4/30/2021	7/21/2022	Shawnee Tribe	36.8746197, -94.8487102
Tribal Government	Oklahoma		Thlopthlocco  (Kialagee)Tribal Town	Thlopthlocco Tribal Town Emergency Rental Assistance Program	The purpose of the ERA Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal households who have disproportionately suffered from the impacts of the COVID-19 pandemic.	https://www.kialegeetribaltown.net/housing.html		Applications on hold/Waitlist	Kialegee Tribal Town	Single agency (public sector)	Unspecified	n/a	$324,199.77	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	No		Tenant	No		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information							4/30/2021	7/21/2022	Thlopthlocco  (Kialagee)Tribal Town	35.239663, -96.28128199999999
Tribal Government	Oklahoma		Wichita and Affiliated Tribes	Wichita and Affiliated Tribes Emergency Rental Assistance Program	The purpose of the ERA Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal households who have disproportionately suffered from the impacts of the COVID-19 pandemic.	https://wichitatribe.com/		Program permanently closed	Wichita and Affiliated Tribes	Single agency (public sector)	Unspecified	n/a	$640,731.99	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	Yes	Uncategorized Housing Expenses	Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information							4/30/2021	7/21/2022	Wichita and Affiliated Tribes	35.0968971, -98.2529373
Tribal Government	Oklahoma		Wyandotte Nation	Wyandotte Nation Emergency Rental Assistance	The Emergency Rental Assistance Program assists eligible tribal households that are unable to pay rent and utilities (electric, water, and gas) due to the COVID-19 pandemic.  ERA can assist eligible households with rental arrearages, utility arrearages, current rental payments and current utility payments. Telecommunication services (telephone, cable, internet) delivered to the rental dwelling are not considered to be utilities.  This program is only available to rental households and does not apply to households with a mortgage or who currently own their home.	https://www.wyandotte-nation.org/community/housing/		Accepting applications	Wyandotte Nation Housing Department	Single agency (public sector)	Unspecified	n/a	$698,460.35	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	No		Both	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Unspecified	W-9/Payee Information							4/30/2021	7/21/2022	Wyandotte Nation	36.8051922, -94.71966239999999
State	Oregon			Oregon Emergency Rental Assistance Program (OERAP)	Oregon Housing and Community Services will distribute $204 million to qualified renters who have experienced financial hardship due to the coronavirus pandemic and are at risk of homelessness or housing instability. OHCS will begin administering the Oregon Emergency Rental Assistance Program (OERAP) program after federal regulations are detailed. OERAP can help low-income households with their past due rent and utilities. In most cases, payment will be made directly to the landlord or utility provider.	https://www.oregon.gov/ohcs/housing-assistance/Pages/emergency-rental-assistance.aspx		Applications on hold/Waitlist	Oregon Housing and Community Services	Public-private collaboration	Unspecified	Intake support	$378,175,304.42	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	12 months	electricity, gas, water and sewer, home energy costs, trash removal, internet, and bulk fuels	Yes	Relocation Expenses, Late Fees, Hotel/Motel Stays, Internet, Uncategorized Housing Expenses	Tenant	Yes		Prioritization required, Process established on website	Household size, months behind on rent, 2020 wildfire impact, whether household lives in a census tract identified by Urban Institute Rental Assistance Priority Index with high prevalence of low-income renters	Other	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional, Housing Instability, Lease	Unspecified	W-9/Payee Information, Rental Ledger/ Lease	https://www.oregonrentalassistance.org/	https://www.oregon.gov/ohcs/housing-assistance/Documents/05-13-2021-OERAP-FAQ.pdf	https://www.oregon.gov/ohcs/housing-assistance/Documents/04-30-2021-OERAP-Prioritization%20Information.pdf	https://www.oregonrentalassistance.org/landlords/	https://www.salemreporter.com/posts/5353/thousands-face-eviction-as-local-share-of-state-rental-assistance-runs-out		5/10/2021	7/21/2022	Oregon	43.8041334, -120.5542012
County	Oregon	Clackamas County		Clackamas County Emergency Rental Assistance	If you are having trouble paying rent because your income was impacted by COVID-19, you may be eligible for rent assistance.	https://www.clackamas.us/communitydevelopment/cccha.html		Accepting applications	Coordinated Housing Access	Single agency (public sector)	Unspecified	n/a	$22,431,040.70	Treasury ERA1 and Treasury ERA2	Unknown				Unknown			Unknown		Tenant	No		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified		Unknown	Unknown		Unspecified		https://www.clackamas.us/coronavirus/resources	https://www.thechronicleonline.com/news_free/pandemic-state-now-offering-204-million-to-qualified-renters/article_82864faa-bca3-11eb-a895-53e41b59eeae.html					6/23/2021	7/21/2022	Clackamas County, Oregon	45.2023855, -122.1188945
County	Oregon	Lane County		Emergency Rent Relief of Lane County (ERRLC)	Lane County will offer rent assistance to those who meet the criteria. Those who apply must be a renter in the county, have income at or below 80% of the Area Median Income, and have experienced loss of income due to COVID-19 or experienced financial hardship due to COVID-19. The area median income amount is $39,900 annually for a single person and $56,950 annually for a household of four, according to Lane County.	https://lanecounty.org/cms/One.aspx?portalId=3585881&pageId=16741613		Applications on hold/Waitlist	Lane County Department of Health and Human Services, multiple nonprofits	Public-private collaboration	Unspecified	Application processing	$25,027,036.40	Treasury ERA1 and Treasury ERA2	Both				Yes		electricity, natural gas, water, sewer, trash removal, heating oil	Unknown		Tenant	Unknown		Prioritization required, Process not established on website	Households affected by wildfires	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent, Household is literally homeless; household is fleeing domestic violence	Yes	Self-Attestation Permitted	COVID Hardship, Income	Categorical Eligibility	W-9/Payee Information							6/22/2021	7/21/2022	Lane County, Oregon	43.9610092, -122.6618227
County	Oregon	Marion County		COVID Assistance Program	To be eligible to receive assistance, one or more individuals within the household has experienced a reduction of income, incurred significant costs, or experienced other financial hardship due, directly or indirectly, to the COVID-19 outbreak and will be required to submit an application to determine eligibility. Households are eligible to receive assistance for financial obligations incurred after March 2020 and must be at or below 80% of the average median income.	https://www.co.marion.or.us/BOC/CD/Pages/rentalassistance.aspx		Applications on hold/Waitlist	Marion County Department of Community Development	Single agency (public sector)	Unspecified	n/a	$15,005,068.27	Treasury ERA1 and Treasury ERA2	Both				Yes			Unknown		Tenant	No		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Past Due Rent	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information							6/15/2021	7/21/2022	Marion County, Oregon	44.8446393, -122.5927411
County	Oregon	Multnomah County		Multnomah County COVID-19 Rent Relief Program	The COVID-19 Rent Relief Program is intended to provide assistance to households who have experienced a loss of income or who have increased health risks or needs due to COVID-19.	https://www.portland.gov/phb/rent-relief/multnomah-county-rent-assistance	Multnomah County, Portland	Applications on hold/Waitlist	Multnomah County, Portland Housing Bureau, Joint Office for Homeless Services, Home Forward, multiple nonprofits	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach, Intake support	$55,942,282.50	Treasury ERA1 and Treasury ERA2	Both	9 months			No			Yes	Relocation Expenses, Uncategorized Housing Expenses	Tenant	Unknown		Prioritization required, Process established on website	Black, Indigenous and People of Color (BIPOC) communities experiencing the greatest adverse impacts from COVID-19	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Income, Housing Instability, Lease	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information	https://www.211info.org/multco-rent	https://www.portland.gov/phb/rent-relief/multnomah-county-rent-assistance					4/19/2021	7/21/2022	Multnomah County, Oregon	45.5145659, -122.5863211
County	Oregon	Washington County		Washington County Emergency Rental Assistance Program	The U.S. Treasury Emergency Rental Assistance program makes available $25 billion nationally to assist households that are unable to pay rent, utilities, and other housing related expenses due to the COVID-19 pandemic. Approximately $280 million from the program fund has been allocated to the State of Oregon, and Washington County has a significant portion of these funds available to disburse to eligible households in the county. Under this program, eligible renting households may receive assistance to help stabilize their housing. Assistance may include current and past due rent, current and past due utilities costs, and other expenses related to housing. Additional assistance may be provided if determined necessary.	https://www.co.washington.or.us/Housing/COVID-19/emergency-rental-assistance.cfm		Applications on hold/Waitlist	Washington County Housing Services, Community Action	Public-private collaboration	Unspecified	Targeted outreach, Intake support, Application processing	$37,587,665.50	Treasury ERA1 and Treasury ERA2	Both				Yes			Unknown		Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified		Unknown	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Unspecified		https://caowash.org/find-help/housing-help.html	https://www.co.washington.or.us/Housing/COVID-19/upload/Emergency-Rental-Assistance-Program-One-Pager-2.pdf					5/19/2021	7/21/2022	Washington County, Oregon	45.5469616, -123.1386021
Tribal Government	Oregon		Burns Paiute Tribe	Burns Paiute Housing Department Covid-19 Emergency Rental Assistance Program	This is the Burns Paiute Housing Department (BPHD), Department of Treasury Emergency Rental Assistance Program (ERA) application.	https://surveyhero.com/c/BPHD-ERA		Program permanently closed	Burns Paiute Housing Department	Single agency (public sector)	Unspecified	n/a	$154,599.47	Treasury ERA1 only	Both	15 months	12 months		Yes		electricity, gas, water and sewer, trash removal, energy costs	Yes	Relocation Expenses, Late Fees, Hotel/Motel Stays, Internet	Both	No		Prioritization required, Process established on website	First Priority: Unable to reach their place of employment, loss of employment due directly to COVID-19 Second Priority: Tribal member, member of an Indian Tribe Third Priority: applicants experiencing a combination of difficulties from preexisting concerns which have become more problematic due to the effect of the pandemic	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified	Eviction Notice, Past Due Rent, Past utility bill, unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional	Categorical Eligibility		https://docs.google.com/document/d/1X6sq4Yjdafoe-3_QvdMGk3JwZ6hfgsITbZj0FOE8Azw/edit#heading=h.h4o8gdfrtrcr	https://burnspaiute-nsn.gov/wp-content/uploads/2021/06/Newsletter-2021-06-ERAP.pdf					7/16/2021	7/21/2022	Burns Paiute Tribe	43.6117515, -119.0717925
Tribal Government	Oregon		Confederated Tribes of Grand Ronde Housing Department	Confederated Tribes of Grand Ronde Emergency Rental Assistance Program	The Emergency Assistance Program and the LIHEAP (Low Income Heating Energy Assistance Program) assists eligible Tribal Members with the following: Utility Assistance: where an emergency can be demonstrated with a Shut-off notice. LIHEAP payments will be counted as utility assistance through the Social Services Emergency Assistance Program.	https://www.grandronde.org/services/social-services/emergency-assistance/		Applications on hold/Waitlist	Confederated Tribes of Grand Ronde Housing Department	Single agency (public sector)	Unspecified	n/a	$3,910,097.57	Treasury ERA1 only	Unknown	1 month			Yes			Unknown		Tenant	Unknown		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Tribal citizenship ID/enrollment card, Current Lease	Eviction Notice, Past Due Rent	Unknown	Unknown		Unspecified	W-9/Payee Information, Tribal ID							5/19/2021	7/21/2022	Confederated Tribes of Grand Ronde Housing Department	45.0759055, -123.6112991
Tribal Government	Oregon		Confederated Tribes of Siletz Indians	Confederated Tribes of Siletz Indians Emergency Rental Assistance (ERA) Program	The purpose of the ERA Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal households who have disproportionately suffered from the impacts of the COVID-19 pandemic. To participate in the ERA Program, an Applicant must first submit a complete, written Application on the forms provided by STHD.	http://www.ctsi.nsn.us/Siletz-Tribal-Services-Umpqua-Clackamas-County-Tillamook/clackamas-county-molalla-siletz-housing/rental-assistance-student-housing#era		Program permanently closed	Siletz Tribal Housing Department	Single agency (public sector)	Unspecified	n/a	$5,099,504.73	Treasury ERA1 only	Both	15 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	Yes	Uncategorized Housing Expenses	Both	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Yes	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information, Tribal ID, SSN							4/30/2021	7/21/2022	Confederated Tribes of Siletz Indians	44.71987379999999, -123.9167592
Tribal Government	Oregon		Confederated Tribes of Warm Springs	Confederated Tribes of Warm Springs COVID-19 Emergency Rental Assistance (ERA) Program	The ERA Program provides Financial Assistance to the following Eligible Households who earn 80% or less of the Area Median Income; 1. Tribal Members residing on/off the Reservation 2. Enrolled Tribal Members of any Federally Recognized Tribes residing in Jefferson, Wasco, Hood River, Gilliam, Clackamas, or Marion Counties 3. Any person living within the boundaries of the Reservation regardless of race. This assistance covers: Rent, Utilities, Internet, Communication Devices, Cable/Satellite payments (Arrears dating back to April 1, 2020 and for future use in 3-month increments) to help alleviate the financial hardships endured from loss of income and increased costs due to the COVID-19 pandemic	https://warmsprings-nsn.gov/news/press-releases/covid19-emergency-rental-assistance-program-era-renters/		Applications on hold/Waitlist	Warm Springs Housing Authority	Single agency (public sector)	Unspecified	n/a	$1,944,640.24	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, and home energy costs	Yes	Uncategorized Housing Expenses	Both	Unknown		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	Rental Ledger/ Lease, Tribal ID, SSN							4/30/2021	7/21/2022	Confederated Tribes of Warm Springs	44.7581467, -121.2733448
